registro;;;uo;;numero_empenho;;data_nap;numero_nap;valor_item_empenho;
10;40151;1;1131;1;11155;20092023;11122023;38063;25907,08;1463827652
11;40151;1600000;0;25907,08;;;;;;
10;41396;1;1131;1;2522;14022023;11122023;38066;9251,23;1463827652
11;41396;2600000;0;9251,23;;;;;;
10;40154;1;1131;1;11116;19092023;11122023;38067;2750,00;1463827652
11;40154;1600000;0;2750;;;;;;
10;40156;1;1151;1;11138;20092023;11122023;38068;297429,67;18606121649
11;40156;1500000;0;297429,67;;;;;;
10;40157;1;1131;1;4677;30032023;11122023;38071;41850,00;1463827652
11;40157;1600000;0;41850;;;;;;
10;40158;1;1131;1;11455;22092023;11122023;38072;5078,00;1463827652
11;40158;1600000;0;5078;;;;;;
10;40159;1;1151;1;11111;19092023;11122023;38074;109208,88;18606121649
11;40159;1500000;0;109208,88;;;;;;
10;40160;1;1123;1;10700;14092023;11122023;38075;12900,00;29703905668
11;40160;1500000;1001;12900;;;;;;
10;41788;1;1131;1;3031;2032023;11122023;38076;92125,00;1463827652
11;41788;2600000;0;92125;;;;;;
10;40162;1;1152;1;11108;19092023;11122023;38077;344522,58;13086618604
11;40162;2899000;0;344522,58;;;;;;
10;40163;1;1131;1;11257;21092023;11122023;38080;2750,00;1463827652
11;40163;1600000;0;2750;;;;;;
10;40166;1;1152;1;11184;20092023;11122023;38081;136439,35;13086618604
11;40166;2899000;0;136439,35;;;;;;
10;40169;1;1131;1;11258;21092023;11122023;38088;3589,38;1463827652
11;40169;1600000;0;3589,38;;;;;;
10;40171;1;1211;1;4184;23032023;11122023;38090;295209,11;501953604
11;40171;2500000;0;295209,11;;;;;;
10;40170;1;1211;1;4183;23032023;11122023;38090;32801,01;501953604
11;40170;2500000;0;32801,01;;;;;;
10;40172;1;1131;1;13595;13112023;11122023;38091;7500,00;1463827652
11;40172;1600000;0;7500;;;;;;
10;40173;1;1131;1;13182;30102023;11122023;38095;1530,00;1463827652
11;40173;1600000;0;1530;;;;;;
10;40174;1;1131;1;13505;10112023;11122023;38096;29860,00;1463827652
11;40174;1600000;0;29860;;;;;;
10;40175;1;1131;1;5291;25042023;11122023;38099;184931,64;1463827652
11;40175;2600000;0;184931,64;;;;;;
10;40176;1;1131;1;13455;9112023;11122023;38100;7500,00;1463827652
11;40176;1600000;0;7500;;;;;;
10;40177;1;1131;1;11550;22092023;11122023;38102;437,28;1463827652
11;40177;1500000;1002;437,28;;;;;;
10;40178;1;1061;1;12223;6102023;11122023;38105;985,00;1263146678
11;40178;1500000;0;985;;;;;;
10;40179;1;1061;1;12223;6102023;11122023;38106;25517,12;1263146678
11;40179;1500000;0;25517,12;;;;;;
10;40180;1;1061;1;12223;6102023;11122023;38107;21480,00;1263146678
11;40180;1500000;0;21480;;;;;;
10;40181;1;1061;1;13663;14112023;11122023;38108;5662,50;1263146678
11;40181;1500000;0;5662,5;;;;;;
10;40182;1;1061;1;12223;6102023;11122023;38109;287,28;1263146678
11;40182;1500000;0;287,28;;;;;;
10;40183;1;1061;1;13663;14112023;11122023;38110;336,00;1263146678
11;40183;1500000;0;336;;;;;;
10;40700;1;1131;1;3031;2032023;11122023;38111;36600,00;1463827652
11;40700;2600000;0;36600;;;;;;
10;40239;1;1081;1;11449;22092023;11122023;38197;246021,72;67340504672
11;40239;1500000;0;246021,72;;;;;;
10;40234;1;1123;1;14973;11122023;12122023;38194;3587,48;29703905668
11;40234;1500000;1001;3587,48;;;;;;
10;40235;1;1151;1;13209;30102023;12122023;38195;65027,24;18606121649
11;40235;1754000;0;65027,24;;;;;;
10;40236;1;1123;1;14974;11122023;12122023;38196;10596,28;29703905668
11;40236;1500000;1001;10596,28;;;;;;
10;40238;1;1081;1;12313;10102023;11122023;38200;51597,32;67340504672
11;40238;2500000;0;51597,32;;;;;;
10;40240;1;1081;1;7971;26062023;11122023;38201;32853,51;67340504672
11;40240;2501000;0;32853,51;;;;;;
10;40241;1;1081;1;11453;22092023;11122023;38203;244211,45;67340504672
11;40241;1501000;0;244211,45;;;;;;
10;40242;1;1181;1;7514;22062023;12122023;38204;17352,00;2582914606
11;40242;2500000;0;17352;;;;;;
10;40243;1;1061;1;13663;14112023;12122023;38205;3872,22;1263146678
11;40243;1500000;0;3872,22;;;;;;
10;40245;1;1131;1;10537;6092023;12122023;38207;19195,94;1463827652
11;40245;1600000;0;19195,94;;;;;;
10;40246;1;1131;1;11361;22092023;12122023;38208;507,13;1463827652
11;40246;1600000;0;507,13;;;;;;
10;40247;1;1151;1;8210;30062023;12122023;38209;506933,21;18606121649
11;40247;2701000;0;506933,21;;;;;;
10;40248;1;1151;1;8212;30062023;12122023;38210;35299,34;18606121649
11;40248;1500000;0;35299,34;;;;;;
10;40249;1;1151;1;9539;9082023;12122023;38213;43241,41;18606121649
11;40249;1701000;0;43241,41;;;;;;
10;40250;1;1151;1;9540;9082023;12122023;38214;3011,03;18606121649
11;40250;1500000;0;3011,03;;;;;;
10;40256;1;1131;1;11159;20092023;12122023;38218;2263,59;1463827652
11;40256;1600000;0;2263,59;;;;;;
10;40255;1;1131;1;7225;16062023;12122023;38218;5902,44;1463827652
11;40255;1600000;0;5902,44;;;;;;
10;40452;1;1131;1;11367;22092023;12122023;38220;50808,11;1463827652
11;40452;1751000;0;50808,11;;;;;;
10;40261;1;1081;1;14954;11122023;11122023;38223;294998,44;67340504672
11;40261;1501000;0;294998,44;;;;;;
10;40262;1;1081;1;14955;11122023;11122023;38224;2620,61;67340504672
11;40262;1500000;0;2620,61;;;;;;
10;40263;1;1131;1;14963;11122023;12122023;38225;600,00;1463827652
11;40263;1636000;0;600;;;;;;
10;40264;1;1131;1;14967;11122023;12122023;38226;600,00;1463827652
11;40264;1636000;0;600;;;;;;
10;40265;1;1081;1;11454;22092023;11122023;38227;408576,09;67340504672
11;40265;1501000;0;408576,09;;;;;;
10;40266;1;1131;1;14968;11122023;12122023;38228;600,00;1463827652
11;40266;1636000;0;600;;;;;;
10;40267;1;1131;1;7950;26062023;12122023;38229;20923,97;1463827652
11;40267;1600000;0;20923,97;;;;;;
10;40268;1;1131;1;14969;11122023;12122023;38230;600,00;1463827652
11;40268;1636000;0;600;;;;;;
